brand,model,variant,year,fuel_type,transmission,km_driven,engine_cc,mileage,ownership,location,seats,condition,insurance_valid,price
Audi,A4,40 TFSI Technology,2015,Petrol,Automatic,150031,1984,18.4,4+ Owners,Bengaluru,5,Poor,False,475000
Honda,WR-V,VX,2023,Petrol,Manual,36887,1548,16.9,3rd Owner,Pune,5,Fair,True,405000
Honda,Civic,ZX,2015,Petrol,Automatic,143445,1799,16.6,4+ Owners,Mumbai,5,Good,False,350000
Mercedes-Benz,GLC,GLC 220d,2022,Diesel,Automatic,26147,1993,15.5,4+ Owners,Jaipur,5,Good,False,2520000
Kia,Sonet,HTE,2019,Diesel,Automatic,64585,1147,19.8,1st Owner,Ahmedabad,5,Excellent,True,375000
Tata,Safari,Pure,2013,Diesel,Automatic,147186,1956,15.8,4+ Owners,Chennai,7,Poor,False,350000
Volkswagen,Virtus,Comfortline,2018,Petrol,Manual,49780,1448,17.7,1st Owner,Chandigarh,5,Good,True,405000
MG,Hector,Shine,2020,Diesel,Automatic,50370,1906,17.2,1st Owner,Chandigarh,5,Excellent,False,760000
Kia,Sonet,HTK,2014,Petrol,Manual,129275,1247,19.2,3rd Owner,Jaipur,5,Poor,False,120000
MG,Astor,Style,2019,Petrol,Manual,93648,1548,16.0,4+ Owners,Surat,5,Good,False,350000
Skoda,Octavia,L&K,2022,Petrol,Automatic,52941,1984,16.9,1st Owner,Chennai,5,Poor,True,1300000
Renault,Kiger,RXZ,2019,Petrol,Manual,100011,949,19.1,3rd Owner,Kochi,5,Fair,False,170000
Renault,Kiger,RXT,2021,Petrol,Manual,36964,1049,18.8,2nd Owner,Surat,5,Poor,False,230000
Maruti Suzuki,Baleno,Zeta,2016,CNG,Manual,112206,1197,23.1,3rd Owner,Ahmedabad,5,Fair,False,120000
Toyota,Glanza,G,2016,Petrol,Manual,109648,1247,22.4,2nd Owner,Hyderabad,5,Good,False,155000
Renault,Kiger,RXZ,2017,Petrol,Manual,97404,999,18.1,1st Owner,Surat,5,Good,False,190000
Maruti Suzuki,Ciaz,Zeta,2024,Petrol,Automatic,11560,1512,19.4,4+ Owners,Kolkata,5,Fair,True,500000
Toyota,Camry,2.5 Hybrid,2014,Hybrid,Automatic,83434,2487,18.1,3rd Owner,Delhi,5,Good,True,775000
Kia,Carens,Prestige,2021,Diesel,Automatic,67136,1547,18.0,3rd Owner,Chandigarh,7,Excellent,True,540000
Honda,Amaze,S,2023,Petrol,Manual,28634,1249,17.3,1st Owner,Ahmedabad,5,Poor,False,345000
Honda,WR-V,VX,2024,Diesel,Manual,19982,1548,17.8,2nd Owner,Ahmedabad,5,Excellent,True,665000
Toyota,Innova Crysta,GX,2013,Diesel,Automatic,142659,2393,14.0,3rd Owner,Surat,7,Poor,False,350000
Volkswagen,Taigun,Comfortline,2022,Petrol,Automatic,45222,1448,16.6,1st Owner,Kochi,5,Fair,True,725000
Tata,Safari,Accomplished,2017,Diesel,Automatic,123998,1956,15.8,3rd Owner,Pune,7,Excellent,True,450000
BMW,5 Series,530d M Sport,2023,Diesel,Automatic,37795,1995,16.7,1st Owner,Kochi,5,Poor,True,3460000
Skoda,Kushaq,Monte Carlo,2013,Petrol,Automatic,187413,1448,17.0,2nd Owner,Chennai,5,Poor,False,350000
MG,Hector,Shine,2017,Petrol,Automatic,67424,1906,15.7,1st Owner,Vadodara,5,Good,False,500000
Toyota,Glanza,V,2020,CNG,Manual,79267,1197,21.4,2nd Owner,Lucknow,5,Excellent,False,295000
Audi,A6,45 TFSI Technology,2021,Petrol,Automatic,54061,2034,14.3,4+ Owners,Lucknow,5,Good,False,2215000
Mahindra,Scorpio-N,Z8L,2021,Diesel,Automatic,55450,2184,15.9,2nd Owner,Chandigarh,7,Poor,True,560000
Kia,Seltos,HTX,2024,Diesel,Automatic,23142,1497,18.4,2nd Owner,Jaipur,5,Fair,True,835000
Volkswagen,Virtus,GT Plus,2013,Petrol,Automatic,108102,1498,19.4,3rd Owner,Pune,5,Poor,True,350000
Audi,Q3,40 TFSI,2018,Diesel,Automatic,56814,2034,16.4,3rd Owner,Hyderabad,5,Excellent,False,1310000
Mercedes-Benz,GLC,GLC 220d,2020,Petrol,Automatic,35597,1993,15.6,3rd Owner,Pune,5,Fair,False,1935000
Skoda,Kushaq,Ambition,2015,Petrol,Manual,134882,1498,19.1,2nd Owner,Hyderabad,5,Poor,False,350000
MG,Hector,Sharp Pro,2017,Petrol,Manual,120794,2006,15.2,4+ Owners,Surat,5,Fair,False,350000
Honda,Civic,VX,2014,Petrol,Automatic,143419,1849,15.9,4+ Owners,Chennai,5,Excellent,True,350000
BMW,5 Series,530d M Sport,2016,Diesel,Automatic,91256,2045,18.2,2nd Owner,Vadodara,5,Excellent,True,1615000
Volkswagen,Virtus,Topline,2024,Petrol,Manual,23022,1548,18.3,2nd Owner,Bengaluru,5,Fair,False,720000
Toyota,Camry,2.5 Hybrid,2024,Hybrid,Automatic,24579,2487,18.0,2nd Owner,Lucknow,5,Poor,False,2255000
Kia,Seltos,HTX,2021,Petrol,Automatic,60485,1547,16.6,3rd Owner,Delhi,5,Good,False,480000
Skoda,Kushaq,Ambition,2023,Petrol,Automatic,35542,1448,16.8,1st Owner,Chennai,5,Poor,True,635000
Skoda,Slavia,Ambition,2020,Petrol,Automatic,53983,1548,17.3,4+ Owners,Chandigarh,5,Poor,False,350000
Mahindra,XUV700,AX7,2020,Petrol,Automatic,47780,2184,14.1,3rd Owner,Mumbai,7,Poor,False,425000
Hyundai,Venue,E,2023,Petrol,Manual,21948,1147,19.0,2nd Owner,Delhi,5,Good,True,540000
Honda,WR-V,SV,2022,Petrol,Manual,31609,1548,16.8,2nd Owner,Delhi,5,Excellent,True,475000
Mercedes-Benz,C-Class,C 300d,2018,Petrol,Automatic,79634,1943,17.6,1st Owner,Surat,5,Excellent,False,1985000
Mahindra,Bolero,B6(O),2014,Diesel,Manual,85063,1493,15.9,1st Owner,Mumbai,7,Poor,False,135000
Hyundai,Venue,SX,2014,Petrol,Automatic,98236,1147,16.8,3rd Owner,Ahmedabad,5,Fair,False,120000
Kia,Seltos,HTE,2023,Petrol,Automatic,39937,1497,16.5,4+ Owners,Ahmedabad,5,Poor,True,435000
Mahindra,Scorpio-N,Z6,2015,Diesel,Manual,79832,2184,13.3,1st Owner,Surat,7,Fair,True,350000
Renault,Kiger,RXZ,2018,Petrol,Automatic,97273,1049,17.8,3rd Owner,Chandigarh,5,Fair,False,160000
Skoda,Slavia,Active,2023,Petrol,Manual,25055,1548,18.1,3rd Owner,Chandigarh,5,Good,False,630000
Mercedes-Benz,GLC,GLC 220d,2022,Diesel,Automatic,36297,2043,15.5,3rd Owner,Pune,5,Excellent,True,3330000
Renault,Kiger,RXT,2014,Petrol,Manual,94727,949,18.7,4+ Owners,Pune,5,Good,False,120000
Mahindra,Bolero,B6(O),2014,Diesel,Manual,99763,1543,14.7,4+ Owners,Vadodara,7,Poor,False,120000
Kia,Sonet,HTK,2021,Petrol,Automatic,63031,1197,18.9,4+ Owners,Jaipur,5,Fair,True,265000
Renault,Kwid,RXT,2016,Petrol,Manual,82666,999,21.5,1st Owner,Kolkata,5,Poor,True,120000
Skoda,Octavia,Style,2021,Petrol,Automatic,59218,1984,14.4,1st Owner,Lucknow,5,Fair,False,1290000
BMW,X1,sDrive20i,2017,Petrol,Automatic,58390,1945,17.2,4+ Owners,Lucknow,5,Fair,True,810000
Hyundai,i20,Asta(O),2022,Petrol,Manual,51019,1247,19.9,3rd Owner,Kochi,5,Good,True,350000
Hyundai,Grand i10 Nios,Magna,2018,CNG,Manual,76652,1147,20.0,2nd Owner,Chandigarh,5,Good,True,175000
Mercedes-Benz,GLC,GLC 300,2020,Diesel,Automatic,65547,1993,13.4,4+ Owners,Vadodara,5,Fair,False,1700000
Mahindra,Bolero,B4,2017,Diesel,Manual,56476,1493,17.0,1st Owner,Vadodara,7,Excellent,False,295000
Skoda,Octavia,Style,2020,Petrol,Automatic,86966,1934,17.2,4+ Owners,Delhi,5,Fair,True,770000
Tata,Nexon,Pure,2024,Diesel,Automatic,33736,1249,16.4,3rd Owner,Chennai,5,Poor,False,415000
MG,Hector,Smart,2014,Diesel,Manual,148651,1956,16.5,2nd Owner,Pune,5,Excellent,True,350000
Toyota,Camry,2.5 Hybrid,2022,Hybrid,Automatic,50065,2487,20.0,1st Owner,Vadodara,5,Poor,False,1910000
Toyota,Innova Crysta,GX,2018,Diesel,Manual,75941,2393,14.1,3rd Owner,Lucknow,7,Excellent,True,585000
Mercedes-Benz,GLC,GLC 220d,2022,Diesel,Automatic,33594,2043,15.5,2nd Owner,Surat,5,Poor,True,2505000
MG,Hector,Sharp Pro,2022,Diesel,Automatic,44081,1906,15.2,4+ Owners,Lucknow,5,Good,False,645000
Renault,Triber,RXZ,2017,Petrol,Automatic,77166,1049,17.9,3rd Owner,Mumbai,7,Poor,False,120000
Hyundai,Alcazar,Signature,2014,Diesel,Manual,103981,1493,19.3,2nd Owner,Lucknow,7,Poor,True,350000
Honda,Civic,VX,2013,Diesel,Automatic,166659,1799,15.7,1st Owner,Pune,5,Good,True,350000
Hyundai,Alcazar,Signature,2018,Petrol,Manual,53716,1493,18.7,2nd Owner,Kochi,7,Poor,False,360000
Hyundai,Creta,S,2016,Petrol,Automatic,78930,1447,16.2,1st Owner,Hyderabad,5,Poor,False,350000
Audi,A6,45 TFSI Premium Plus,2023,Petrol,Automatic,35348,1934,14.4,2nd Owner,Chandigarh,5,Poor,True,2915000
Hyundai,Grand i10 Nios,Sportz,2014,Petrol,Automatic,161137,1247,20.4,3rd Owner,Chennai,5,Excellent,False,120000
Mahindra,XUV700,MX,2022,Diesel,Manual,28676,2184,14.1,2nd Owner,Lucknow,7,Poor,False,610000
Mercedes-Benz,C-Class,C 220d,2024,Diesel,Automatic,20916,1943,17.8,1st Owner,Pune,5,Fair,False,4060000
Skoda,Kushaq,Style,2013,Petrol,Automatic,150807,1548,17.4,1st Owner,Kochi,5,Fair,False,350000
BMW,5 Series,530d M Sport,2018,Petrol,Automatic,115226,2045,16.7,1st Owner,Surat,5,Poor,True,1615000
Audi,A4,40 TFSI Technology,2018,Petrol,Automatic,91819,1984,17.2,4+ Owners,Bengaluru,5,Poor,False,770000
BMW,5 Series,530d M Sport,2017,Petrol,Automatic,115847,2045,18.3,2nd Owner,Mumbai,5,Good,False,1580000
Hyundai,i20,Asta,2018,Petrol,Manual,71475,1197,20.0,1st Owner,Chandigarh,5,Good,False,250000
MG,Astor,Super,2014,Petrol,Manual,174594,1498,16.0,1st Owner,Chennai,5,Fair,False,350000
Renault,Triber,RXZ,2016,Petrol,Manual,75536,949,20.2,4+ Owners,Delhi,7,Fair,False,120000
Skoda,Octavia,L&K,2017,Petrol,Automatic,111633,1934,14.7,2nd Owner,Kochi,5,Good,True,770000
Maruti Suzuki,Wagon R,ZXi,2022,CNG,Automatic,29916,948,24.6,4+ Owners,Jaipur,5,Poor,False,180000
Hyundai,i20,Asta,2023,Petrol,Automatic,45372,1197,19.2,2nd Owner,Kochi,5,Good,False,470000
Audi,A4,40 TFSI Premium,2021,Petrol,Automatic,42138,1984,18.7,2nd Owner,Pune,5,Fair,True,1920000
MG,Astor,Super,2023,Petrol,Manual,41464,1548,16.1,2nd Owner,Bengaluru,5,Fair,True,580000
Maruti Suzuki,Baleno,Sigma,2023,CNG,Manual,34971,1197,24.1,3rd Owner,Vadodara,5,Fair,False,310000
Mercedes-Benz,GLC,GLC 300,2017,Diesel,Automatic,61418,1993,14.4,4+ Owners,Hyderabad,5,Fair,True,1180000
BMW,5 Series,530d M Sport,2019,Petrol,Automatic,98798,1995,16.6,1st Owner,Chennai,5,Poor,True,1820000
Maruti Suzuki,Ertiga,ZXi Plus,2022,CNG,Manual,35828,1512,21.2,2nd Owner,Kochi,7,Good,False,510000
Volkswagen,Taigun,Topline,2020,Petrol,Manual,78933,1498,19.2,2nd Owner,Chandigarh,5,Fair,True,405000
Volkswagen,Polo,GT TSI,2017,Petrol,Manual,115734,999,18.9,4+ Owners,Pune,5,Excellent,False,125000
Skoda,Slavia,Ambition,2021,Petrol,Manual,65906,1498,19.3,3rd Owner,Lucknow,5,Excellent,True,510000
Kia,Sonet,HTX,2021,Diesel,Manual,50646,1197,18.4,1st Owner,Mumbai,5,Good,False,425000
Skoda,Kushaq,Ambition,2022,Petrol,Automatic,43534,1498,19.4,3rd Owner,Chandigarh,5,Fair,False,530000
Toyota,Camry,2.5 Hybrid,2018,Hybrid,Automatic,103632,2487,20.0,1st Owner,Chandigarh,5,Poor,False,1175000
Mercedes-Benz,GLC,GLC 220d,2024,Petrol,Automatic,22175,2043,15.4,4+ Owners,Bengaluru,5,Good,True,3530000
BMW,3 Series,320d Luxury Line,2013,Diesel,Automatic,165674,1995,16.7,4+ Owners,Jaipur,5,Poor,True,410000
Skoda,Slavia,Style,2018,Petrol,Automatic,87957,1498,19.7,3rd Owner,Jaipur,5,Fair,False,350000
Honda,Amaze,S,2021,Petrol,Manual,55115,1249,17.7,4+ Owners,Pune,5,Poor,False,180000
Mercedes-Benz,GLC,GLC 300,2017,Petrol,Automatic,113830,1943,14.1,3rd Owner,Surat,5,Excellent,False,1540000
MG,Astor,Sharp,2016,Petrol,Automatic,102749,1448,15.1,2nd Owner,Hyderabad,5,Excellent,True,350000
Maruti Suzuki,Baleno,Alpha,2018,CNG,Manual,62100,1247,24.3,2nd Owner,Ahmedabad,5,Poor,False,155000
Mercedes-Benz,E-Class,E 200,2017,Petrol,Automatic,93003,2043,15.7,1st Owner,Bengaluru,5,Poor,True,1705000
Maruti Suzuki,Alto,LXi,2015,CNG,Manual,68549,846,25.0,3rd Owner,Chennai,5,Poor,False,120000
Tata,Altroz,XZ,2017,Petrol,Manual,101415,1249,19.2,3rd Owner,Surat,5,Good,True,165000
Mercedes-Benz,E-Class,E 350d,2023,Petrol,Automatic,40936,2043,14.5,4+ Owners,Vadodara,5,Excellent,True,3850000
Volkswagen,Taigun,Highline,2013,Petrol,Automatic,131473,1498,19.2,3rd Owner,Chandigarh,5,Excellent,False,350000
BMW,3 Series,320d Luxury Line,2023,Petrol,Automatic,31694,1995,16.7,3rd Owner,Surat,5,Excellent,False,2695000
Honda,Amaze,E,2020,Petrol,Automatic,75539,1249,18.7,4+ Owners,Kochi,5,Good,True,240000
Renault,Kwid,CLIMBER,2021,Petrol,Manual,36201,1049,23.2,2nd Owner,Chandigarh,5,Good,True,225000
Skoda,Kushaq,Active,2023,Petrol,Automatic,26828,1498,18.8,4+ Owners,Bengaluru,5,Poor,False,440000
Skoda,Kushaq,Style,2024,Petrol,Automatic,16387,1548,17.1,1st Owner,Mumbai,5,Poor,False,755000
Skoda,Slavia,Active,2020,Petrol,Automatic,75136,1448,19.3,4+ Owners,Pune,5,Poor,False,350000
Kia,Sonet,HTE,2023,Petrol,Automatic,22753,1247,18.1,2nd Owner,Surat,5,Good,True,560000
Toyota,Camry,2.5 Hybrid,2021,Hybrid,Automatic,53821,2487,18.6,3rd Owner,Hyderabad,5,Excellent,True,2115000
Kia,Carens,Premium,2016,Petrol,Manual,73080,1497,16.8,1st Owner,Hyderabad,7,Excellent,False,350000
Skoda,Slavia,Active,2015,Petrol,Manual,124717,1448,17.9,2nd Owner,Vadodara,5,Good,False,350000
Maruti Suzuki,Ciaz,Delta,2023,Petrol,Automatic,21946,1512,20.5,3rd Owner,Surat,5,Poor,False,365000
Kia,Seltos,X-Line,2020,Petrol,Manual,63927,1497,18.2,4+ Owners,Ahmedabad,5,Good,False,350000
Honda,WR-V,SV,2020,Diesel,Manual,87770,1448,16.8,1st Owner,Lucknow,5,Excellent,True,425000
Renault,Kiger,RXZ,2021,Petrol,Automatic,48565,999,20.5,1st Owner,Hyderabad,5,Good,True,405000
Mercedes-Benz,E-Class,E 220d,2024,Petrol,Automatic,21111,1993,14.6,3rd Owner,Chennai,5,Fair,False,3955000
Volkswagen,Taigun,Comfortline,2024,Petrol,Automatic,20729,1498,17.5,2nd Owner,Surat,5,Good,True,915000
Renault,Kiger,RXZ,2019,Petrol,Manual,65902,949,18.7,2nd Owner,Kolkata,5,Fair,False,210000
Volkswagen,Polo,GT TSI,2020,Petrol,Automatic,50931,1049,18.3,2nd Owner,Jaipur,5,Excellent,True,315000
Hyundai,Alcazar,Prestige,2013,Diesel,Manual,124396,1543,17.1,2nd Owner,Jaipur,7,Poor,False,350000
MG,Astor,Sharp,2013,Petrol,Automatic,76796,1548,15.5,3rd Owner,Mumbai,5,Poor,True,350000
Hyundai,Grand i10 Nios,Magna,2016,Petrol,Automatic,118449,1197,19.4,4+ Owners,Kolkata,5,Good,True,120000
Audi,A4,40 TFSI Premium,2014,Petrol,Automatic,149946,1934,17.8,2nd Owner,Delhi,5,Poor,False,565000
Mahindra,Bolero,B4,2021,Diesel,Manual,51105,1493,14.6,1st Owner,Vadodara,7,Fair,True,425000
Audi,A6,45 TFSI Premium Plus,2016,Petrol,Automatic,73503,1934,14.3,4+ Owners,Vadodara,5,Fair,False,1025000
Tata,Tiago,XE,2021,Electric,Automatic,31995,1199,19.2,1st Owner,Pune,5,Poor,False,215000
Toyota,Camry,2.5 Hybrid,2016,Hybrid,Automatic,129793,2487,19.6,4+ Owners,Delhi,5,Fair,True,730000
Hyundai,Verna,S+,2019,Petrol,Automatic,80225,1447,17.4,3rd Owner,Kolkata,5,Fair,False,350000
Hyundai,i20,Asta(O),2020,Petrol,Manual,36048,1197,20.5,3rd Owner,Lucknow,5,Poor,True,195000
Kia,Seltos,X-Line,2016,Petrol,Automatic,86044,1497,16.4,4+ Owners,Bengaluru,5,Excellent,True,350000
Kia,Sonet,GTX+,2014,Diesel,Automatic,124603,1247,18.8,4+ Owners,Delhi,5,Good,False,120000
Kia,Sonet,GTX+,2018,Diesel,Automatic,102670,1197,17.9,2nd Owner,Kolkata,5,Fair,True,240000
Mahindra,Scorpio-N,Z8,2022,Petrol,Automatic,49236,2184,15.4,4+ Owners,Pune,7,Excellent,True,695000
Skoda,Slavia,Style,2021,Petrol,Automatic,50353,1498,19.5,1st Owner,Lucknow,5,Poor,False,445000
Toyota,Innova Crysta,VX,2023,Diesel,Automatic,33739,2393,14.9,4+ Owners,Chandigarh,7,Poor,False,725000
Mercedes-Benz,E-Class,E 350d,2021,Petrol,Automatic,52151,1943,15.4,1st Owner,Chandigarh,5,Poor,False,2885000
Kia,Seltos,HTE,2014,Diesel,Manual,176891,1547,17.2,2nd Owner,Kolkata,5,Fair,False,350000
MG,Hector,Smart,2013,Diesel,Manual,143735,1906,14.6,2nd Owner,Pune,5,Fair,False,350000
Honda,Civic,VX,2020,Petrol,Automatic,81697,1749,15.9,1st Owner,Mumbai,5,Fair,True,765000
Tata,Tiago,XM,2021,Petrol,Manual,60095,1199,19.2,4+ Owners,Vadodara,5,Good,True,200000
Kia,Sonet,HTE,2024,Petrol,Automatic,28444,1147,19.0,2nd Owner,Chennai,5,Excellent,True,665000
Skoda,Slavia,Ambition,2018,Petrol,Automatic,63234,1548,19.6,3rd Owner,Chandigarh,5,Poor,False,350000
Mahindra,Scorpio-N,Z8,2022,Petrol,Automatic,27746,2184,13.9,2nd Owner,Chennai,7,Excellent,True,905000
Tata,Altroz,XZ,2019,CNG,Manual,88933,1149,19.3,2nd Owner,Jaipur,5,Good,False,225000
Tata,Harrier,Fearless,2022,Diesel,Automatic,28567,1906,15.9,4+ Owners,Jaipur,5,Poor,False,545000
Kia,Carens,Luxury Plus,2020,Petrol,Manual,38643,1497,15.1,2nd Owner,Jaipur,7,Fair,True,425000
Renault,Kiger,RXT,2021,Petrol,Manual,56843,999,19.2,1st Owner,Kochi,5,Poor,True,275000
Hyundai,Alcazar,Signature,2016,Diesel,Manual,133985,1493,19.2,1st Owner,Kolkata,7,Excellent,True,410000
BMW,X1,sDrive20i,2024,Diesel,Automatic,15947,1945,17.2,3rd Owner,Jaipur,5,Fair,True,2370000
BMW,5 Series,530d M Sport,2022,Diesel,Automatic,35627,1945,18.9,2nd Owner,Surat,5,Good,True,3495000
Mahindra,XUV700,AX7,2020,Petrol,Automatic,78862,2184,13.9,1st Owner,Ahmedabad,7,Fair,False,645000
Volkswagen,Taigun,Comfortline,2024,Petrol,Automatic,20775,1548,17.5,4+ Owners,Lucknow,5,Good,False,680000
Audi,A6,45 TFSI Technology,2021,Petrol,Automatic,54948,1934,12.9,4+ Owners,Mumbai,5,Excellent,True,2395000
Maruti Suzuki,Alto,Std,2024,Petrol,Manual,17697,746,25.2,3rd Owner,Delhi,5,Fair,True,200000
MG,Astor,Super,2019,Petrol,Manual,41615,1498,13.5,2nd Owner,Jaipur,5,Poor,True,350000
Mahindra,Thar,LX Petrol AT,2024,Petrol,Automatic,14071,2184,14.8,1st Owner,Delhi,4,Fair,False,1030000
Tata,Safari,Pure,2023,Diesel,Manual,40211,2006,16.8,4+ Owners,Pune,7,Good,True,880000
Renault,Kiger,RXT,2016,Petrol,Manual,80947,1049,19.8,3rd Owner,Ahmedabad,5,Fair,True,125000
MG,Hector,Shine,2021,Diesel,Manual,54076,2006,16.1,2nd Owner,Surat,5,Poor,False,490000
Mercedes-Benz,C-Class,C 200,2019,Petrol,Automatic,96458,2043,18.1,1st Owner,Pune,5,Fair,True,1910000
Audi,Q3,40 TFSI,2018,Petrol,Automatic,53833,2034,14.5,3rd Owner,Hyderabad,5,Excellent,True,1365000
Kia,Carens,Luxury,2023,Diesel,Automatic,35120,1547,16.6,2nd Owner,Chennai,7,Excellent,False,720000
Honda,Amaze,VX,2018,Petrol,Manual,91815,1249,20.0,2nd Owner,Mumbai,5,Good,True,225000
Hyundai,Venue,SX(O),2022,Petrol,Automatic,33464,1147,18.1,1st Owner,Bengaluru,5,Poor,False,395000
Mercedes-Benz,GLC,GLC 300,2015,Diesel,Automatic,112367,1943,14.2,4+ Owners,Chennai,5,Excellent,False,1020000
Renault,Kiger,RXE,2020,Petrol,Automatic,45633,1049,18.1,2nd Owner,Chennai,5,Excellent,True,315000
Skoda,Slavia,Active,2013,Petrol,Manual,180440,1498,19.8,2nd Owner,Lucknow,5,Excellent,False,350000
Honda,Civic,ZX,2018,Diesel,Automatic,94820,1849,17.0,1st Owner,Bengaluru,5,Good,True,680000
Hyundai,Venue,S+,2017,Diesel,Manual,117477,1197,16.6,3rd Owner,Surat,5,Good,False,180000
Volkswagen,Virtus,Highline,2015,Petrol,Automatic,70118,1548,18.1,1st Owner,Pune,5,Excellent,False,350000
BMW,5 Series,520d Luxury Line,2016,Petrol,Automatic,137591,1945,18.0,1st Owner,Mumbai,5,Good,False,1640000
Mahindra,XUV300,W4,2022,Petrol,Manual,47070,1547,20.2,4+ Owners,Vadodara,5,Good,True,345000
Audi,A6,45 TFSI Technology,2024,Petrol,Automatic,27289,1934,12.8,2nd Owner,Bengaluru,5,Excellent,True,4545000
Volkswagen,Taigun,Topline,2019,Petrol,Automatic,69211,1498,17.7,1st Owner,Delhi,5,Good,False,525000
BMW,X1,sDrive20d,2016,Diesel,Automatic,75006,1995,16.0,1st Owner,Vadodara,5,Fair,False,1025000
Tata,Nexon,Fearless,2020,Petrol,Manual,79089,1149,16.3,1st Owner,Lucknow,5,Good,True,375000
Kia,Sonet,HTE,2022,Diesel,Manual,22484,1147,19.6,4+ Owners,Kochi,5,Good,True,360000
Audi,A6,45 TFSI Premium Plus,2013,Petrol,Automatic,116872,2034,13.8,1st Owner,Ahmedabad,5,Poor,True,805000
Tata,Harrier,Adventure,2020,Diesel,Manual,60991,1956,16.5,4+ Owners,Mumbai,5,Excellent,False,520000
